City,State,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4
Waterbury,CT,109495,165,3,14,83,65,1973,172,1514,287,5
Cape coral,FL ,168712,116,2,5,18,91,1630,320,1226,84,1
Clearwater,FL ,110075,305,3,26,86,190,2169,389,1668,112,5
Coral springs,FL ,127939,95,0,10,23,62,1292,188,1046,58,2
Fort lauderdale,FL ,174056,656,9,39,289,319,4612,972,3311,329,17
Gainesville,FL ,128185,435,2,60,70,303,2203,312,1750,141,11
Hialeah,FL ,235446,367,3,21,129,214,3186,348,2481,357,6
Hollywood,FL ,147918,408,6,37,125,240,3142,698,2236,208,2
Jacksonville,FL ,856021,2897,51,236,701,1909,16301,3363,11952,986,46
Lakeland,FL ,101428,285,4,44,84,153,2598,474,1993,131,0
Miami,FL ,421996,2080,43,35,768,1234,10028,1768,7083,1177,36
Miami gardens,FL ,112373,369,8,9,104,248,2227,540,1455,232,8
Miramar,FL ,132352,214,4,19,58,133,1341,390,861,90,4
Orlando,FL ,259675,1136,12,80,279,765,8311,1801,6044,466,25
Palm bay,FL ,105287,281,0,23,24,234,1054,230,754,70,3
Pembroke pines,FL ,164372,132,2,8,54,68,1887,306,1491,90,1
Pompano beach,FL ,105523,399,2,28,129,240,2243,488,1610,145,6
Port st. Lucie,FL ,172453,130,4,8,20,98,1204,261,905,38,5
St. Petersburg,FL ,250772,1088,9,83,305,691,6830,1358,4832,640,23
Tallahassee,FL ,187573,840,5,89,150,596,4264,1054,2919,291,4
Tampa,FL ,357124,962,12,26,224,700,4056,823,3040,193,20
West palm beach,FL ,103028,447,9,20,152,266,2376,420,1795,161,7
Athens-clarke county,GA ,121511,159,3,,45,90,1734,349,1296,89,14
Atlanta,GA ,454363,2580,39,,1043,1424,12119,2546,7628,1945,28
Columbus,GA ,206714,516,11,,225,255,5764,1496,3719,549,20
Sandy springs,GA ,101184,71,0,,46,15,1381,312,982,87,1
Savannah,GA ,236682,395,15,,190,159,3921,775,2808,338,15
Honolulu,HI,994034,,,,,,,,,,
Boise City,ID,216260,332,2,65,32,233,2078,349,1646,83,19
Aurora,IL ,200419,284,4,18,53,209,1315,196,1074,45,8
Chicago,IL,2724121,10888,175,654,4400,5659,39749,6649,28326,4774,223
Elgin,IL ,110595,112,1,22,31,58,899,144,727,28,7
Joliet,IL ,147838,219,1,5,45,168,1346,271,1016,59,22
Naperville,IL ,145510,52,1,5,8,38,717,72,626,19,1
Peoria,IL ,116923,370,4,32,112,222,2244,558,1596,90,25
Rockford,IL ,149586,927,10,69,178,670,2947,759,2019,169,34
Springfield,IL ,117134,551,2,42,111,396,2523,479,2005,39,25
Evansville,IN ,120372,286,5,,108,140,3229,490,2522,217,
Fort wayne,IN ,257172,376,4,44,156,172,3883,781,2950,152,22
South bend,IN ,100853,302,7,49,128,118,2039,502,1410,127,12
Cedar rapids,IA,128901,179,8,19,54,98,2236,386,1727,123,6
Des Moines,IA,208250,584,3,51,124,406,3879,821,2658,400,12
Kansas City,KS ,149103,494,13,113,108,260,3386,793,2134,459,21
Overland park,KS ,183108,137,5,44,12,76,1508,173,1070,265,6
Topeka,KS ,127673,303,4,27,86,186,2872,441,2168,263,4
Wichita,KS ,387493,1497,13,129,258,1097,9482,1639,6756,1087,45
Lexington-Fayette,KY,311848,514,11,73,258,172,5757,1181,4123,453,24
Louisville ,KY,678513,1904,27,96,669,1112,13054,2857,9212,985,82
Baton Rouge,LA,229387,1078,27,34,426,591,5045,1380,3406,259,78
Lafayette,LA ,125122,390,1,4,113,272,3526,613,2676,237,35
New orleans,LA ,387113,1869,71,98,713,987,7901,1636,5056,1209,
Shreveport,LA ,200184,716,9,65,189,453,4398,946,3201,251,27
Baltimore,MD,623513,3989,99,,1641,2120,14003,3215,8511,2277,102
Cambridge,MA ,108201,146,1,11,36,98,1090,125,907,58,0
Lowell,MA ,109729,262,1,17,74,170,1267,314,797,156,12
Springfield,MA ,153766,777,6,51,261,459,2688,779,1616,293,26
Worcester,MA ,183248,814,4,7,175,628,2570,660,1740,170,1
Ann arbor,MI ,117768,94,0,29,9,56,1010,156,792,62,4
Detroit,MI ,684694,6292,135,284,1589,4284,15748,4390,6629,4729,235
Grand rapids,MI ,193385,623,3,31,198,391,2388,584,1683,121,25
Lansing,MI ,113901,537,5,38,109,385,1550,436,956,158,11
Sterling heights,MI ,131604,101,0,16,13,72,981,130,778,73,7
Warren,MI ,135080,288,3,39,62,184,1563,340,993,230,8
Jackson,MS ,172376,710,35,,313,301,4837,1468,2872,497,59
Columbia,MO ,116847,162,2,30,43,87,1908,265,1565,78,6
Independence,MO ,117321,223,1,25,50,147,3182,505,2271,406,17
Kansas city,MO ,468417,2735,35,191,707,1802,10823,2524,6336,1963,111
Springfield,MO ,165280,942,5,136,181,620,5719,864,4294,561,29
St. Louis,MO ,318574,2284,58,144,594,1488,8616,1756,5435,1425,86
Billings,MT,110245,195,2,41,28,124,2345,326,1758,261,3
Lincoln,NE,271208,445,4,,99,266,4212,628,3442,142,33
Henderson,NV,274121,198,1,33,69,95,2725,692,1788,245,11
North Las Vegas,NV,229436,877,4,40,223,610,2795,1019,1335,441,10
Reno,NV,235055,530,3,60,141,326,3144,626,2180,338,7
Manchester,NH,110571,342,3,25,110,204,1855,357,1415,83,12
Edison township,NJ,101965,46,0,,25,19,541,146,346,49,6
Elizabeth,NJ,128345,504,5,,281,205,1724,364,960,400,5
Jersey city,NJ,260005,621,13,,272,320,1983,441,1266,276,20
Newark,NJ,279110,1355,43,,891,400,3743,828,1824,1091,21
Paterson,NJ,146083,572,9,,286,268,1856,556,958,342,8
Woodbridge township,NJ,100969,53,0,,25,25,932,119,770,43,3
Albuquerque,NM,558874,2367,12,,619,1539,15064,3095,10248,1721,46
Amherst town,NY,118860,64,1,5,22,36,905,71,815,19,2
Buffalo,NY,258419,1507,19,76,605,807,5876,1435,3941,500,
New York,NY,8473938,24191,146,1075,7691,15279,63155,7433,52230,3492,
Rochester,NY,210347,776,19,93,286,378,3874,826,2746,302,50
Syracuse,NY,144534,526,6,33,164,323,2682,665,1890,127,24
Yonkers,NY,200624,475,2,10,152,311,928,190,652,86,10
Cary,NC,154978,55,3,,18,29,827,164,642,21,4
Durham,NC,249738,923,9,,299,581,5187,1729,3162,296,9
Greensboro,NC,282203,619,6,,209,376,5016,1260,3523,233,61
High point,NC,108540,236,3,,64,157,1873,510,1255,108,13
Wilmington,NC,113418,367,5,,112,233,2362,645,1565,152,12
Fargo,ND,115686,187,3,39,30,115,1303,210,1014,79,6
Akron,OH ,197891,679,8,89,176,406,4007,1234,2536,237,30
Cincinnati,OH ,297671,1258,39,114,634,471,7663,2269,4874,520,158
Cleveland,OH ,388655,2499,26,266,1408,799,9537,3113,4687,1737,138
Columbus,OH ,830811,2336,49,394,1035,858,16327,4073,10848,1406,277
Dayton,OH ,143217,619,17,74,267,261,3586,1166,2160,260,32
Toledo,OH ,281150,1390,11,113,414,852,,2142,,425,
Broken arrow,OK ,104592,64,0,12,26,26,754,157,552,45,7
Oklahoma city,OK ,617975,2354,20,196,522,1616,13332,3146,8375,1811,42
Tulsa,OK ,399556,1590,18,176,428,968,9844,2619,6059,1166,68
Eugene,OR ,159882,287,1,42,84,160,3252,539,2427,286,15
Salem,OR ,162028,261,0,29,51,181,3411,444,2639,328,14
Allentown,PA ,118710,269,4,34,130,101,1887,478,1269,140,4
Erie,PA ,100403,177,3,24,47,103,1204,326,844,34,13
Philadelphia,PA ,1559062,7661,115,577,3294,3675,24285,4566,17078,2641,197
Providence,RI ,178640,421,7,45,133,236,3090,671,2011,408,15
Charleston,SC,129867,135,5,13,40,77,1473,181,1217,75,2
North charleston,SC,105594,364,8,43,101,212,2762,379,2136,247,5
Sioux falls,SD,167339,395,2,78,48,267,2309,402,1778,129,12
Chattanooga,TN ,174449,883,17,60,182,624,5503,991,3999,513,6
Clarksville,TN ,144639,438,6,36,54,342,2071,471,1509,91,14
Knoxville,TN ,184362,789,7,63,194,525,5993,982,4614,397,6
Memphis,TN ,654922,5633,65,269,1553,3746,18200,5148,11709,1343,151
Murfreesboro,TN ,119005,280,6,27,55,192,1921,332,1500,89,2
Nashville,TN ,647689,3489,20,258,642,2569,11209,2321,8396,492,51
Abilene,TX ,120686,262,3,,58,152,2471,437,1894,140,18
Amarillo,TX ,197724,688,3,133,144,408,4464,892,3142,430,15
Arlington,TX ,382976,907,6,,241,558,6455,1207,4798,450,21
Beaumont,TX ,117898,522,8,,144,326,2799,763,1923,113,19
Brownsville ,TX ,183433,273,3,,67,161,3604,475,3048,81,7
Carrollton,TX ,128577,91,1,,25,64,1312,257,935,120,5
College station,TX ,101483,85,0,13,21,51,1158,292,833,33,0
Corpus christi,TX ,319211,976,12,,184,636,7186,1185,5757,244,31
Dallas,TX ,1272396,3941,53,,1781,1723,21979,5567,13100,3312,180
Denton,TX ,125248,189,0,64,31,94,1325,201,1065,59,0
El paso,TX ,680273,1396,7,,227,979,7345,837,6106,402,26
Fort worth,TX ,804907,2243,30,272,580,1361,15642,3642,10867,1133,80
Frisco,TX ,141940,57,1,10,6,40,1226,219,974,33,6
Grand prairie,TX ,185273,249,1,,93,109,2440,463,1651,326,6
Houston,TX,2219933,10401,100,,4717,5168,52686,10826,34814,7046,341
Irving,TX,231708,271,2,,81,169,3142,562,2297,283,13
Laredo,TX,250994,518,9,,95,374,5079,668,4260,151,51
Lewisville,TX ,102439,98,0,18,25,55,1257,214,897,146,1
Lubbock,TX,241826,930,5,,132,737,5084,1059,3648,377,28
Mckinney,TX ,152806,110,2,16,27,65,1357,192,1090,75,6
Mesquite,TX ,144396,226,1,,85,111,2646,566,1701,379,5
Odessa,TX ,113619,496,4,,72,392,1953,333,1391,229,5
Pasadena,TX ,153540,300,4,,82,173,2407,397,1743,267,7
Pearland,TX ,102516,72,1,19,11,41,927,121,777,29,3
Plano,TX,277822,249,2,47,81,119,2674,345,2184,145,13
Richardson,TX ,105744,90,1,,38,39,1199,167,960,72,4
Round rock,TX ,112199,57,0,,20,25,1031,111,900,20,5
San antonio,TX ,1428465,3757,43,,885,2311,38179,6230,28292,3657,139
Tyler,TX ,100969,,,,,,,,,,
Wichita falls,TX ,104949,203,2,,51,107,2030,450,1459,121,0
Provo6,UT ,117158,,,,,,,,,,
Salt lake city,UT ,192368,666,1,113,193,359,7355,730,5807,818,46
West valley6,UT ,134590,,,,,,,,,,
Alexandria,VA ,151065,133,2,9,77,45,1424,102,1185,137,8
Chesapeake,VA ,232489,472,4,34,82,352,3103,572,2410,121,11
Hampton,VA ,136590,168,5,21,50,92,2064,255,1706,103,14
Newport news ,VA ,182374,363,11,36,94,222,2750,481,2098,171,33
Norfolk,VA ,247078,572,19,52,158,343,4516,600,3694,222,13
Richmond,VA,216747,604,23,12,264,305,4003,840,2830,333,26
Virginia beach,VA ,451102,327,12,55,123,137,4720,541,4015,164,33
Bellevue9,WA ,135449,74,1,,34,22,2281,296,1849,136,6
Everett,WA ,105911,192,2,,73,99,3505,616,2352,537,13
Kent,WA ,125837,171,0,33,65,73,3058,445,2126,487,10
Seattle,WA ,663410,1950,13,79,755,1103,20475,3466,14102,2907,40
Spokane,WA,211025,582,5,,229,296,9004,1625,6259,1120,28
Tacoma,WA ,204722,745,7,75,224,439,6008,1502,3658,848,31
Vancouver,WA ,168688,269,4,41,74,150,2625,393,1810,422,27
Green bay,WI ,104979,256,3,26,32,195,1074,184,848,42,5
Kenosha,WI ,100025,147,4,,51,82,1045,251,744,50,9
Madison,WI,245788,400,3,42,101,254,3135,448,2572,115,4
Milwaukee,WI,600374,3957,36,192,1551,2178,12303,2416,6966,2921,110
